website,link,header,time,year,month,day,hour,minute,second
Webull - Stock Quotes & Free Stock Trading,https://play.google.com/store/apps/details?id=org.dayup.stocks,Webull - Stock Quotes & Free Stock Trading,"Sep 18, 2018, 11:05:23 AM EDT",2018,9,18,11,5,23
Alipay,https://play.google.com/store/apps/details?id=com.eg.android.AlipayGphone,Alipay,"Sep 18, 2018, 11:04:42 AM EDT",2018,9,18,11,4,42
QQ,https://play.google.com/store/apps/details?id=com.tencent.mobileqq,QQ,"Sep 18, 2018, 10:23:53 AM EDT",2018,9,18,10,23,53
"Stocks, Forex, Finance, Markets: Portfolio & News",https://play.google.com/store/apps/details?id=com.fusionmedia.investing,"Stocks, Forex, Finance, Markets: Portfolio & News","Sep 18, 2018, 10:23:33 AM EDT",2018,9,18,10,23,33
Google Chrome: Fast & Secure,https://play.google.com/store/apps/details?id=com.android.chrome,Google Chrome: Fast & Secur,"Sep 18, 2018, 10:23:26 AM EDT",2018,9,18,10,23,26
com.android.packageinstaller,,com.android.packageinstaller,"Sep 18, 2018, 10:21:22 AM EDT",2018,9,18,10,21,22
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 18, 2018, 10:10:16 AM EDT",2018,9,18,10,10,16
com.vivo.browser,,com.vivo.browser,"Sep 18, 2018, 9:57:22 AM EDT",2018,9,18,9,57,22
com.ifeng.news2,,com.ifeng.news,"Sep 18, 2018, 9:57:16 AM EDT",2018,9,18,9,57,16
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,YouTub,"Sep 18, 2018, 9:22:04 AM EDT",2018,9,18,9,22,4
com.bbk.launcher2,,com.bbk.launcher,"Sep 18, 2018, 9:21:56 AM EDT",2018,9,18,9,21,56
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 18, 2018, 9:21:48 AM EDT",2018,9,18,9,21,48
Alipay,https://play.google.com/store/apps/details?id=com.eg.android.AlipayGphone,Alipay,"Sep 18, 2018, 9:21:36 AM EDT",2018,9,18,9,21,36
com.android.BBKClock,,com.android.BBKClock,"Sep 18, 2018, 9:21:11 AM EDT",2018,9,18,9,21,11
Alipay,https://play.google.com/store/apps/details?id=com.eg.android.AlipayGphone,Alipay,"Sep 18, 2018, 5:04:54 AM EDT",2018,9,18,5,4,54
com.bbk.launcher2,,com.bbk.launcher,"Sep 18, 2018, 5:04:49 AM EDT",2018,9,18,5,4,49
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 18, 2018, 5:01:16 AM EDT",2018,9,18,5,1,16
"Waze - GPS, Maps, Traffic Alerts & Live Navigation",https://play.google.com/store/apps/details?id=com.waze,"Waze - GPS, Maps, Traffic Alerts & Live Navigation","Sep 18, 2018, 4:58:02 AM EDT",2018,9,18,4,58,2
Android,,Interacted with Unknown Device operating system,"Sep 18, 2018, 3:00:00 AM EDT",2018,9,18,3,0,0
com.bbk.launcher2,,com.bbk.launcher,"Sep 17, 2018, 11:57:40 PM EDT",2018,9,17,23,57,40
"Stocks, Forex, Finance, Markets: Portfolio & News",https://www.google.com/url?q=http://cn.investing.com/indices/taiwan-weighted-overview&usg=AFQjCNH9fin7xuQeuFgFcobqr6LSAzSrbA,台湾加权指数指数价格,"Sep 17, 2018, 11:18:19 PM EDT",2018,9,17,23,18,19
"Stocks, Forex, Finance, Markets: Portfolio & News",https://www.google.com/url?q=http://cn.investing.com/indices/taiwan-weighted-technical&usg=AFQjCNG88ZS60ATBwjmvBUJoY42xlNmuNg,台湾加权指数技术分析,"Sep 17, 2018, 11:18:19 PM EDT",2018,9,17,23,18,19
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,YouTub,"Sep 17, 2018, 11:12:11 PM EDT",2018,9,17,23,12,11
com.bbk.launcher2,,com.bbk.launcher,"Sep 17, 2018, 11:12:07 PM EDT",2018,9,17,23,12,7
com.ifeng.news2,,com.ifeng.news,"Sep 17, 2018, 11:11:59 PM EDT",2018,9,17,23,11,59
QQmail,https://play.google.com/store/apps/details?id=com.tencent.androidqqmail,QQmail,"Sep 17, 2018, 10:57:59 PM EDT",2018,9,17,22,57,59
com.vivo.gallery,,com.vivo.gallery,"Sep 17, 2018, 10:57:50 PM EDT",2018,9,17,22,57,50
com.android.camera,,com.android.camera,"Sep 17, 2018, 10:57:30 PM EDT",2018,9,17,22,57,30
Messaging,https://play.google.com/store/apps/details?id=com.android.mms,Messaging,"Sep 17, 2018, 10:48:28 PM EDT",2018,9,17,22,48,28
com.vivo.browser,,com.vivo.browser,"Sep 17, 2018, 10:48:13 PM EDT",2018,9,17,22,48,13
